"country","X2019","country_code"
"Afghanistan",2.85,"AFG"
"Albania",5.89,"ALB"
"Algeria",4.01,"DZA"
"Angola",3.72,"AGO"
"Argentina",7.02,"ARG"
"Armenia",5.54,"ARM"
"Australia",9.09,"AUS"
"Austria",8.29,"AUT"
"Azerbaijan",2.75,"AZE"
"Bahrain",2.55,"BHR"
"Bangladesh",5.88,"BGD"
"Belarus",2.48,"BLR"
"Belgium",7.64,"BEL"
"Benin",5.09,"BEN"
"Bhutan",5.3,"BTN"
"Bolivia",4.84,"BOL"
"Bosnia and Herzegovina",4.86,"BIH"
"Botswana",7.81,"BWA"
"Brazil",6.86,"BRA"
"Bulgaria",7.03,"BGR"
"Burkina Faso",4.04,"BFA"
"Burundi",2.15,"BDI"
"Cambodia",3.53,"KHM"
"Cameroon",2.85,"CMR"
"Canada",9.22,"CAN"
"Cape Verde",7.78,"CPV"
"Central African Republic",1.32,"CAF"
"Chad",1.61,"TCD"
"Chile",8.08,"CHL"
"China",2.26,"CHN"
"Colombia",7.13,"COL"
"Comoros",3.15,"COM"
"Costa Rica",8.13,"CRI"
"Croatia",6.57,"HRV"
"Cuba",2.84,"CUB"
"Cyprus",7.59,"CYP"
"Czech Republic",7.69,"CZE"
"Denmark",9.22,"DNK"
"Djibouti",2.77,"DJI"
"Dominican Republic",6.54,"DOM"
"Ecuador",6.33,"ECU"
"Egypt",3.06,"EGY"
"El Salvador",6.15,"SLV"
"Equatorial Guinea",1.92,"GNQ"
"Eritrea",2.37,"ERI"
"Estonia",7.9,"EST"
"Eswatini",3.14,"SWZ"
"Ethiopia",3.44,"ETH"
"Fiji",5.85,"FJI"
"Finland",9.25,"FIN"
"France",8.12,"FRA"
"Gabon",3.61,"GAB"
"Gambia",4.33,"GMB"
"Georgia",5.42,"GEO"
"Germany",8.68,"DEU"
"Ghana",6.63,"GHA"
"Greece",7.43,"GRC"
"Guatemala",5.26,"GTM"
"Guinea",3.14,"GIN"
"Guinea-Bissau",2.63,"GNB"
"Guyana",6.15,"GUY"
"Haiti",4.57,"HTI"
"Honduras",5.42,"HND"
"Hong Kong",6.02,"HKG"
"Hungary",6.63,"HUN"
"Iceland",9.58,"ISL"
"India",6.9,"IND"
"Indonesia",6.48,"IDN"
"Iran",2.38,"IRN"
"Iraq",3.74,"IRQ"
"Ireland",9.24,"IRL"
"Israel",7.86,"ISR"
"Italy",7.52,"ITA"
"Ivory Coast",4.05,"CIV"
"Jamaica",6.96,"JAM"
"Japan",7.99,"JPN"
"Jordan",3.93,"JOR"
"Kazakhstan",2.94,"KAZ"
"Kenya",5.18,"KEN"
"Kuwait",3.93,"KWT"
"Kyrgyzstan",4.89,"KGZ"
"Laos",2.14,"LAO"
"Latvia",7.49,"LVA"
"Lebanon",4.36,"LBN"
"Lesotho",6.54,"LSO"
"Liberia",5.45,"LBR"
"Libya",2.02,"LBY"
"Lithuania",7.5,"LTU"
"Luxembourg",8.81,"LUX"
"Madagascar",5.64,"MDG"
"Malawi",5.5,"MWI"
"Malaysia",7.16,"MYS"
"Mali",4.92,"MLI"
"Malta",7.95,"MLT"
"Mauritania",3.92,"MRT"
"Mauritius",8.22,"MUS"
"Mexico",6.09,"MEX"
"Moldova",5.75,"MDA"
"Mongolia",6.5,"MNG"
"Montenegro",5.65,"MNE"
"Morocco",5.1,"MAR"
"Mozambique",3.65,"MOZ"
"Myanmar",3.55,"MMR"
"Namibia",6.43,"NAM"
"Nepal",5.28,"NPL"
"Netherlands",9.01,"NLD"
"New Zealand",9.26,"NZL"
"Nicaragua",3.55,"NIC"
"Niger",3.29,"NER"
"Nigeria",4.12,"NGA"
"North Korea",1.08,"PRK"
"North Macedonia",5.97,"MKD"
"Norway",9.87,"NOR"
"Oman",3.06,"OMN"
"Pakistan",4.25,"PAK"
"Panama",7.05,"PAN"
"Papua New Guinea",6.03,"PNG"
"Paraguay",6.24,"PRY"
"Peru",6.6,"PER"
"Philippines",6.64,"PHL"
"Poland",6.62,"POL"
"Portugal",8.03,"PRT"
"Qatar",3.19,"QAT"
"Romania",6.49,"ROU"
"Russia",3.11,"RUS"
"Rwanda",3.16,"RWA"
"Saudi Arabia",1.93,"SAU"
"Senegal",5.81,"SEN"
"Serbia",6.41,"SRB"
"Sierra Leone",4.86,"SLE"
"Singapore",6.02,"SGP"
"Slovakia",7.17,"SVK"
"Slovenia",7.5,"SVN"
"South Africa",7.24,"ZAF"
"South Korea",8,"KOR"
"Spain",8.29,"ESP"
"Sri Lanka",6.27,"LKA"
"Sudan",2.7,"SDN"
"Suriname",6.98,"SUR"
"Sweden",9.39,"SWE"
"Switzerland",9.03,"CHE"
"Syria",1.43,"SYR"
"Taiwan",7.73,"TWN"
"Tajikistan",1.93,"TJK"
"Tanzania",5.16,"TZA"
"Thailand",6.32,"THA"
"Timor-Leste",7.19,"TLS"
"Togo",3.3,"TGO"
"Trinidad and Tobago",7.16,"TTO"
"Tunisia",6.72,"TUN"
"Turkey",4.09,"TUR"
"Turkmenistan",1.72,"TKM"
"Uganda",5.02,"UGA"
"Ukraine",5.9,"UKR"
"United Arab Emirates",2.76,"ARE"
"United Kingdom",8.52,"GBR"
"United States",7.96,"USA"
"Uruguay",8.38,"URY"
"Uzbekistan",2.01,"UZB"
"Venezuela",2.88,"VEN"
"Vietnam",3.08,"VNM"
"Yemen",1.95,"YEM"
"Zambia",5.09,"ZMB"
"Zimbabwe",3.16,"ZWE"
