Country,2019
Canada,9.22
United States,7.96
Austria,8.29
Belgium,7.64
Cyprus,7.59
Denmark,9.22
Finland,9.25
France,8.12
Germany,8.68
Greece,7.43
Iceland,9.58
Ireland,9.24
Italy,7.52
Luxembourg,8.81
Malta,7.95
Netherlands,9.01
Norway,9.87
Portugal,8.03
Spain,8.29
Sweden,9.39
Switzerland,9.03
Turkey,4.09
United Kingdom,8.52
Albania,5.89
Armenia,5.54
Azerbaijan,2.75
Belarus,2.48
Bosnia and Herzegovina,4.86
Bulgaria,7.03
Croatia,6.57
Czech Republic,7.69
Estonia,7.9
Georgia,5.42
Hungary,6.63
Kazakhstan,2.94
Kyrgyzstan,4.89
Latvia,7.49
Lithuania,7.5
Moldova,5.75
Montenegro,5.65
North Macedonia,5.97
Poland,6.62
Romania,6.49
Russia,3.11
Serbia,6.41
Slovakia,7.17
Slovenia,7.5
Tajikistan,1.93
Turkmenistan,1.72
Ukraine,5.9
Uzbekistan,2.01
Argentina,7.02
Bolivia,4.84
Brazil,6.86
Chile,8.08
Colombia,7.13
Costa Rica,8.13
Cuba,2.84
Dominican Republic,6.54
Ecuador,6.33
El Salvador,6.15
Guatemala,5.26
Guyana,6.15
Haiti,4.57
Honduras,5.42
Jamaica,6.96
Mexico,6.09
Nicaragua,3.55
Panama,7.05
Paraguay,6.24
Peru,6.6
Suriname,6.98
Trinidad and Tobago,7.16
Uruguay,8.38
Venezuela,2.88
Afghanistan,2.85
Australia,9.09
Bangladesh,5.88
Bhutan,5.3
Cambodia,3.53
China,2.26
Fiji,5.85
Hong Kong,6.02
India,6.9
Indonesia,6.48
Japan,7.99
Laos,2.14
Malaysia,7.16
Mongolia,6.5
Myanmar,3.55
Nepal,5.28
New Zealand,9.26
North Korea,1.08
Pakistan,4.25
Papua New Guinea,6.03
Philippines,6.64
Singapore,6.02
South Korea,8
Sri Lanka,6.27
Taiwan,7.73
Thailand,6.32
Timor-Leste,7.19
Vietnam,3.08
Algeria,4.01
Bahrain,2.55
Egypt,3.06
Iran,2.38
Iraq,3.74
Israel,7.86
Jordan,3.93
Kuwait,3.93
Lebanon,4.36
Libya,2.02
Morocco,5.1
Oman,3.06
Palestine,3.89
Qatar,3.19
Saudi Arabia,1.93
Sudan,2.7
Syria,1.43
Tunisia,6.72
United Arab Emirates,2.76
Yemen,1.95
Angola,3.72
Benin,5.09
Botswana,7.81
Burkina Faso,4.04
Burundi,2.15
Cape Verde,7.78
Cameroon,2.85
Central African Republic,1.32
Chad,1.61
Comoros,3.15
Republic of the Congo,3.11
Ivory Coast,4.05
Democratic Republic of the Congo,1.13
Djibouti,2.77
Equatorial Guinea,1.92
Eritrea,2.37
Eswatini,3.14
Ethiopia,3.44
Gabon,3.61
Gambia,4.33
Ghana,6.63
Guinea,3.14
Guinea-Bissau,2.63
Kenya,5.18
Lesotho,6.54
Liberia,5.45
Madagascar,5.64
Malawi,5.5
Mali,4.92
Mauritania,3.92
Mauritius,8.22
Mozambique,3.65
Namibia,6.43
Niger,3.29
Nigeria,4.12
Rwanda,3.16
Senegal,5.81
Sierra Leone,4.86
South Africa,7.24
Tanzania,5.16
Togo,3.3
Uganda,5.02
Zambia,5.09
Zimbabwe,3.16
